Data;Obs;Hora_Coleta;P24h;P72h;P1_pH;P2_pH;P2i_pH;P2ii_pH;P3_pH;P1_Cond;P2_Cond;P2i_Cond;P2ii_Cond;P3_Cond;P1_Temp_Ag;P2_Temp_Ag;P2i_Temp_Ag;P2ii_Temp_Ag;P3_Temp_Ag;P1_OD;P2_OD;P2i_OD;P2ii_OD;P3_OD;Dif_3_1;P1_Turb;P2_Turb;P2i_Turb;P2ii_Turb;P3_Turb;P1_P;P2_P_;P2_P;P3_P;P1_NH4;P2_NH4;P3_NH4;P1_NO2;P2_NO2;P3_NO2;P1_NO3;P2_NO3;P3_NO3;P1_DBO;P2_DBO;P3_DBO;P1_CT;P2_CT;P3_CT;P1_CF;P2_CF;P3_CF;P1_ST;P2_ST;P3_ST;P1_Po;P1_P2;P2_Po;P2_P2;P3_Po;P3_P2;Altura_da_regua_1;Altura_da_regua_2;Lâmina de água (cm);Q (l/s);Vel (cm/s);HRT (h);Temp;Radiacao;P_hor;P24h;P72h;Temp Media 24h (ºC);Temp Min24 h (ºC);Temp Max 24 h (ºC);Rad Media 24 h (W/m2);RadMin24 h;Rad Max 24 h (W/m2);Mes_;Est_;Data_hora_coleta;P2h;P6h;P12h;i_Qual1;i_Qual2;i_Vazao;i_Med_alt;i_Poda;ip24h;ip72h;i2p24h;i2p72h;P1_CF_log;P2_CF_log;P3_CF_log;"P24h(0;1)";Hora_definida coleta;;cargaP1_pH;cargaP2_pH;cargaP3_pH;cargaP1_Cond;cargaP2_Cond;cargaP3_Cond;cargaP1_Temp_Ag;cargaP2_Temp_Ag;cargaP3_Temp_Ag;cargaP1_OD;cargaP2_OD;cargaP3_OD;cargaP1_Turb;cargaP2_Turb;cargaP3_Turb;cargaP1_P;cargaP2_P;cargaP3_P;cargaP1_NH4;cargaP2_NH4;cargaP3_NH4;cargaP1_NO2;cargaP2_NO2;cargaP3_NO2;cargaP1_NO3;cargaP2_NO3;cargaP3_NO3;cargaP1_DBO;cargaP2_DBO;cargaP3_DBO;cargaP1_CT;cargaP2_CT;cargaP3_CT;cargaP1_CF;cargaP2_CF;cargaP3_CF;cargaP1_ST;cargaP2_ST;cargaP3_ST;cargaP2_P_;cargaP1_CF_log;cargaP2_CF_log;cargaP3_CF_log;;;;;;;;;;
2/10/22;FINAL DE SEMANA;;0,40;4,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,1;946;0;0;5;19,6;15,8;24,4;240;0;965;10;PRI;;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3/10/22;Retirada macrófitas da superfície da lagoa;;0,00;4,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,9;784;0;0;4;18,5;14,4;21,9;194;0;958;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4/10/22;Retirada macrófitas da superfície da lagoa;;0,00;0,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,0;550;0;0;0;17,8;15,9;22,0;211;0;1020;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/10/22;;09:30;0,00;0,00;7,0;;;;6,7;219;;;;260;20,50;;;;20,20;3,40;;;;4,53;1,13;8,03;;;;9,84;0,19;;;0,49;2,53;;1,29;0,04;;0,12;0,88;;1,22;2,01;;14,00;;;;;;;530;;1070;67,2355;67,262;;;71,3025;71,356;17,8;18,6;0,8;0,51;;;21,7;510;0;0;0;17,5;16,0;21,7;140;0;611;10;PRI;10/5/2022 9:30:00;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;3,58;;3,42;111,87;;132,81;10,47;;10,32;1,74;;2,31;4,10;;5,03;0,10;;0,25;1,29;;0,66;0,02;;0,06;0,45;;0,62;1,03;;7,15;;;;;;;270,73;;546,57;;;;;;;;;;;;;;
6/10/22;;10:30;4,40;4,40;;;;;;340;;;;265;20,20;;;;20,20;1,53;;;;6,50;4,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,8;18,4;0,6;0,33;;;20,0;43;3;4;4;19,8;17,9;22,1;84;0;507;10;PRI;10/6/2022 10:30:00;0;0;1;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;112,92;;88,01;6,71;;6,71;0,51;;2,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/10/22;;09:00;10,60;18,80;;;;;;374;;;;252;19,90;;;;21,40;4,22;;;;3,66;-0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,8;18,6;0,8;0,51;;;21,3;440;0;11;19;20,3;18,1;24,3;120;0;746;10;PRI;10/7/2022 9:00:00;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;191,04;;128,72;10,17;;10,93;2,16;;1,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/10/22;FINAL DE SEMANA;;0,20;19,00;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,1;1011;0;0;19;17,6;12,1;24,1;267;0;1011;10;PRI;;0;0;0,2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/10/22;FINAL DE SEMANA;;0,00;14,60;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,0;667;0;0;15;20,6;17,3;24,6;254;0;1000;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/10/22;Extravasamento;11:30;53,20;53,40;;;;;;168;;;;181;16,00;;;;16,00;;;;;2,00;2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,2;36;11;53;53;15,1;12,5;20,2;163;0;993;10;PRI;10/10/2022 11:30:00;12,8;32;42,6;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/10/22;;12:30;23,60;84,20;;;;;;372;;;;210;15,60;;;;16,60;5,99;;;;6,64;0,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,8;406;0;24;84;15,6;13,4;19,8;51;0;406;10;PRI;10/11/2022 12:30:00;0;7,6;9,4;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/10/22;;;4,00;88,20;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,3;462;0;4;88;20,4;18,6;23,3;95;0;462;10;PRI;;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/10/22;;08:15;3,20;38,20;7,2;;;;6,9;289;;;;363;20,60;;;;20,40;3,88;;;;4,53;0,65;5,10;;;;5,75;;;;;2,19;;1,97;0,23;;0,27;2,38;;;2,40;;2,30;;;;;;;144;;190;64,3637;64,3709;;;57,4538;57,4633;17,5;19,2;1,7;1,58;;;21,3;418;0;3;38;19,4;18,3;23,1;140;0;808;10;PRI;10/13/2022 8:15:00;1;1;1;1;1;1;0;0;1;1;1;1;;;;>0;;;11,34;;10,87;455,18;;571,73;32,45;;32,13;6,11;;7,13;8,03;;9,06;;;;3,45;;3,10;0,36;;0,43;3,75;;;3,78;;3,62;;;;;;;226,80;;299,25;;;;;;;;;;;;;;
14/10/22;;13:00;15,20;22,40;;;;;;203;;;;268;20,00;;;;20,60;4,96;;;;4,89;-0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;19,5;2;2,01;;;19,7;168;0;15;22;20,7;19,1;24,4;118;0;669;10;PRI;10/14/2022 13:00:00;0,4;2,2;8,2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;407,36;;537,79;40,13;;41,34;9,95;;9,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/10/22;FINAL DE SEMANA;;8,80;27,60;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,1;425;0;9;28;17,8;16,0;21,1;72;0;425;10;PRI;;0;0,6;6;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/10/22;FINAL DE SEMANA;;21,80;46,20;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,0;127;1;22;46;19,6;18,3;21,4;80;0;506;10;PRI;;5,2;13,8;20;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/10/22;;09:10;0,20;31,20;7,1;;;;7,3;504;;;;365;20,50;;;;20,60;2,83;;;;0,26;-2,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;19,4;1,9;1,86;;;21,9;985;0;0;31;20,3;18,1;22,4;175;0;985;10;PRI;10/17/2022 9:10:00;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0;;;13,18;;13,59;936,95;;678,55;38,11;;38,30;5,26;;0,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/10/22;Extravasamento Esgoto ;14:00;0,00;22,00;7,2;;;;7,5;647;;;;526;21,50;;;;21,60;1,81;;;;0,29;-1,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;23;5,5;8,99;;;22,6;315;0;0;22;20,8;19,4;22,6;169;0;943;10;PRI;10/18/2022 14:00:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;64,96;;67,30;5813,44;;4726,23;193,18;;194,08;16,26;;2,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
