Data;Obs;Hora_Coleta;P24h;P72h;P1_pH;P2_pH;P2i_pH;P2ii_pH;P3_pH;P1_Cond;P2_Cond;P2i_Cond;P2ii_Cond;P3_Cond;P1_Temp_Ag;P2_Temp_Ag;P2i_Temp_Ag;P2ii_Temp_Ag;P3_Temp_Ag;P1_OD;P2_OD;P2i_OD;P2ii_OD;P3_OD;Dif_3_1;P1_Turb;P2_Turb;P2i_Turb;P2ii_Turb;P3_Turb;P1_P;P2_P_;P2_P;P3_P;P1_NH4;P2_NH4;P3_NH4;P1_NO2;P2_NO2;P3_NO2;P1_NO3;P2_NO3;P3_NO3;P1_DBO;P2_DBO;P3_DBO;P1_CT;P2_CT;P3_CT;P1_CF;P2_CF;P3_CF;P1_ST;P2_ST;P3_ST;P1_Po;P1_P2;P2_Po;P2_P2;P3_Po;P3_P2;Altura_da_regua_1;Altura_da_regua_2;Lâmina de água (cm);Q (l/s);Vel (cm/s);HRT (h);Temp;Radiacao;P_hor;P24h;P72h;Temp Media 24h (ºC);Temp Min24 h (ºC);Temp Max 24 h (ºC);Rad Media 24 h (W/m2);RadMin24 h;Rad Max 24 h (W/m2);Mes_;Est_;Data_hora_coleta;P2h;P6h;P12h;i_Qual1;i_Qual2;i_Vazao;i_Med_alt;i_Poda;ip24h;ip72h;i2p24h;i2p72h;P1_CF_log;P2_CF_log;P3_CF_log;"P24h(0;1)";Hora_definida coleta;;cargaP1_pH;cargaP2_pH;cargaP3_pH;cargaP1_Cond;cargaP2_Cond;cargaP3_Cond;cargaP1_Temp_Ag;cargaP2_Temp_Ag;cargaP3_Temp_Ag;cargaP1_OD;cargaP2_OD;cargaP3_OD;cargaP1_Turb;cargaP2_Turb;cargaP3_Turb;cargaP1_P;cargaP2_P;cargaP3_P;cargaP1_NH4;cargaP2_NH4;cargaP3_NH4;cargaP1_NO2;cargaP2_NO2;cargaP3_NO2;cargaP1_NO3;cargaP2_NO3;cargaP3_NO3;cargaP1_DBO;cargaP2_DBO;cargaP3_DBO;cargaP1_CT;cargaP2_CT;cargaP3_CT;cargaP1_CF;cargaP2_CF;cargaP3_CF;cargaP1_ST;cargaP2_ST;cargaP3_ST;cargaP2_P_;cargaP1_CF_log;cargaP2_CF_log;cargaP3_CF_log;;;;;;;;;;
26/2/23;;;4,00;4,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,1;663;0;4;4;27,0;21,7;32,3;157;0;663;2;VER;;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/2/23;;;0,00;4,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,6;408;0;0;4;23,5;19,2;29,0;235;0;1033;2;VER;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/2/23;;;1,80;5,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,2;528;0;2;6;24,9;22,3;28,3;165;0;638;2;VER;;1,8;1,8;1,8;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/3/23;;;0,20;2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,1;974;0;0;2;24,4;21,5;28,2;245;0;974;3;OUT;;0;0,2;0,2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/3/23;;08:30;0,20;2,20;7,6;7,0;;;6,8;231;241;;;250;23,80;23,60;;;23,60;4,90;4,50;;;2,00;;7,00;95,00;;;10,30;0,19;0,66;2,19;0,18;1,97;2,69;2,69;0,28;0,07;0,07;0,00;0,00;0,00;5,20;22,00;6,90;41060;;;4470;18100;2710;248;620;222;61,8572;61,8696;58,9027;58,9337;61,0021;61,0132;16;16,9;0,9;0,61;0,01731;2,21;30,8;974;0;0;2;24,9;21,8;30,8;294;0;1002;3;OUT;3/2/2023 8:30:00;0,2;0,2;0,2;1;1;1;0;0;1;1;1;1;3,65;4,26;3,43;>0;;;4,63;4,26;4,14;140,73;146,82;152,30;14,50;14,38;14,38;2,99;2,74;1,22;4,26;57,87;6,27;0,12;1,33;0,11;1,20;1,64;1,64;0,17;0,04;0,04;0,00;0,00;0,00;3,17;13,40;4,20;25014,03;;;2723,15;11026,64;1650,95;151,08;377,71;135,24;0,40;2,22;2,59;2,09;;;;;;;;;;
3/3/23;;;0,00;0,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,1;584;0;0;0;26,9;24,7;31,4;227;0;1002;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4/3/23;;;2,00;2,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,5;967;0;2;2;26,2;23,4;30,2;243;0;967;3;OUT;;0;0;2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/3/23;;;0,00;2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,5;648;0;0;2;25,7;22,4;30,1;197;0;989;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/3/23;;;4,00;6,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,7;912;0;4;6;24,0;22,5;28,7;124;0;912;3;OUT;;0;0,2;0,2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/3/23;;09:15;13,60;17,60;7,1;6,8;;;7,0;225;187;;;169;24,80;24,70;;;24,60;4,30;4,00;;;2,10;;9,83;27,60;;;14,10;0,11;0,56;4,13;0,25;0,77;1,14;2,54;0,24;0,11;0,16;0,23;1,05;0,00;6,20;14,00;9,90;120300;2419600;;3050;67500;129970;212;808;188;61,8594;61,87;58,9024;58,9428;61,0019;61,0113;15,6;17,7;2,1;2,16;0,06130;0,62;27,6;538;0;14;18;25,2;22,2;29,4;186;0;834;3;OUT;3/7/2023 9:15:00;0;0,2;4,4;1;1;1;0;0;1;1;1;1;3,48;4,83;5,11;>0;;;15,32;14,67;15,11;485,53;403,53;364,69;53,52;53,30;53,08;9,28;8,63;4,53;21,21;59,56;30,43;0,24;8,91;0,54;1,66;2,46;5,48;0,52;0,24;0,35;0,50;2,27;0,00;13,38;30,21;21,36;259598,57;5221319,25;;6581,68;145660,05;280465,72;457,48;1743,60;405,69;1,21;7,52;10,42;11,04;;;;;;;;;;
8/3/23;;;15,20;32,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,0;846;0;15;33;24,9;21,6;29,7;230;0;937;3;OUT;;0;4,2;13,2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/3/23;;09:50;0,00;28,80;7,1;6,9;;;6,9;268;189;;;216;24,60;24,90;;;24,60;5,30;6,30;;;2,40;;8,00;26,80;;;14,10;0,25;0,41;1,32;0,25;2,96;2,03;2,39;0,25;0,22;0,22;1,28;1,89;3,35;0,00;12,00;1,80;;224700;;11590;39500;17290;306;474;248;61,859;61,8743;58,9039;58,9276;61,0024;61,0148;15,6;16,6;1;0,71;0,02026;1,89;29,7;692;0;0;29;27,1;22,7;30,9;247;0;976;3;OUT;3/9/2023 9:50:00;0;0;0;1;1;1;0;0;-;1;-;1;4,06;4,60;4,24;-;;;5,06;4,92;4,92;191,12;134,78;154,04;17,54;17,76;17,54;3,78;4,49;1,71;5,71;19,11;10,06;0,18;0,94;0,18;2,11;1,45;1,70;0,18;0,16;0,16;0,91;1,35;2,39;0,00;8,56;1,28;;160243,46;;8265,34;28169,19;12330,26;218,22;338,03;176,86;0,29;2,90;3,28;3,02;;;;;;;;;;
10/3/23;;;0,00;15,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,0;466;0;0;15;26,6;23,7;30,7;164;0;698;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/3/23;;;5,40;5,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,3;1011;0;5;5;25,2;22,3;28,3;197;0;1011;3;OUT;;0;0,2;5,4;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/3/23;;;4,80;10,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,0;686;0;5;10;25,5;22,7;28,0;233;0;926;3;OUT;;0;1,4;1,4;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/3/23;;08:30;25,80;36,00;7,8;7,0;;;6,9;233;182;;;284;23,90;23,90;;;24,00;4,80;4,10;;;3,20;;10,10;17,80;;;12,80;0,22;0,44;2,08;0,18;1,69;1,81;2,64;0,07;0,00;0,00;2,42;0,27;0,71;6,70;11,00;9,40;435200;;1732900;16800;119600;104400;462;1006;178;61,8592;61,8823;58,9041;58,9544;61,0026;61,0115;15,6;17,9;2,3;2,47;0,07020;0,54;27,8;386;1;26;36;25,4;22,6;28,4;184;0;726;3;OUT;3/13/2023 8:30:00;0,8;1,6;12,8;1;1;1;0;0;1;1;1;1;4,23;5,08;5,02;>0;;;19,27;17,30;17,05;575,71;449,70;701,73;59,05;59,05;59,30;11,86;10,13;7,91;24,96;43,98;31,63;0,54;5,14;0,44;4,18;4,47;6,52;0,17;0,00;0,00;5,98;0,67;1,75;16,55;27,18;23,23;1075320,33;;4281761,50;41510,53;295515,42;257958,28;1141,54;2485,69;439,81;1,09;10,44;12,55;12,40;;;;;;;;;;
14/3/23;Poda e medição 15/03;08:15;0,00;30,60;7,5;7,2;;;7,1;234;190;;;203;23,80;24,00;;;23,80;5,60;4,10;;;3,10;;9,72;18,10;;;9,28;0,06;0,27;3,08;0,17;3,80;2,83;2,80;0,18;0,04;0,15;1,77;2,56;2,02;1,00;7,70;2,10;;;;63100;124300;104400;246;402;226;66,2146;66,2269;66,9615;66,9816;68,6282;68,6395;15,6;17,8;2,2;2,31;0,06570;0,58;27,7;398;0;0;31;25,0;22,8;28,3;169;0;719;3;OUT;3/14/2023 8:15:00;0;0;0;1;1;1;0;0;-;1;-;1;4,80;5,09;5,02;-;;;17,35;16,65;16,42;541,17;439,41;469,48;55,04;55,50;55,04;12,95;9,48;7,17;22,48;41,86;21,46;0,14;7,12;0,39;8,79;6,54;6,48;0,42;0,09;0,35;4,09;5,92;4,67;2,31;17,81;4,86;;;;145930,45;287466,79;241444,35;568,92;929,70;522,67;0,62;11,10;11,78;11,61;;;;;;;;;;
15/3/23;Poda e medição;;13,20;39,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,0;564;0;13;39;25,9;23,8;28,8;217;0;752;3;OUT;;0;0,2;8,4;1;1;1;1;1;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/3/23;;08:30;3,60;16,80;6,8;6,9;;;6,8;227;221;;;229;23,80;23,70;;;23,70;3,85;3,70;;;2,80;;6,59;16,90;;;16,00;0,17;0,19;4,24;0,15;2,93;2,18;3,20;0,22;0,04;0,06;4,61;0,00;0,00;0,00;11,00;0,40;;1413600;1413600;86800;57200;51800;998;284;214;61,8607;61,9106;58,6283;58,6425;61,0023;61,013;15,6;17,6;2;2,01;0,05701;0,67;28,2;669;0;4;17;24,7;21,2;28,6;224;0;855;3;OUT;3/16/2023 8:30:00;0;0,2;3,4;1;1;1;0;0;1;1;1;1;4,94;4,76;4,71;>0;;;13,65;13,85;13,65;455,52;443,48;459,53;47,76;47,56;47,56;7,73;7,42;5,62;13,22;33,91;32,11;0,34;8,51;0,30;5,88;4,37;6,42;0,44;0,08;0,12;9,25;0,00;0,00;0,00;22,07;0,80;;2836640,78;2836640,78;174179,70;114782,01;103945,95;2002,67;569,90;429,43;0,38;9,91;9,55;9,46;;;;;;;;;;
17/3/23;;;0,20;17,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,3;514;0;0;17;25,7;23,1;29,5;232;0;967;3;OUT;;0;0;0,2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/3/23;;;0,00;3,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,9;948;0;0;4;24,6;20,4;29,5;290;0;965;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/3/23;;;0,00;0,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,0;928;0;0;0;24,9;20,8;29,8;285;0;973;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/3/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,9;901;0;0;0;27,4;24,9;31,9;276;0;950;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/3/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,1;893;0;0;0;26,4;21,3;33,4;237;0;918;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/3/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,2;608;0;0;0;26,0;24,2;29,1;199;0;916;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/3/23;;;31,60;31,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,0;630;0;32;32;25,4;23,7;29,5;147;0;758;3;OUT;;0;8,4;20,8;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/3/23;;;2,60;34,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,8;822;0;3;34;26,0;23,0;28,9;226;0;822;3;OUT;;0,2;0,2;0,2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/3/23;;;0,00;34,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,6;521;0;0;34;24,5;22,0;28,7;174;0;781;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/3/23;;;0,00;2,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,0;497;0;0;3;26,4;24,8;30,4;201;0;705;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/3/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,3;908;0;0;0;24,6;20,3;29,0;227;0;908;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/3/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,0;905;0;0;0;22,5;17,9;27,9;232;0;931;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/3/23;;;2,40;2,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,5;847;0;2;2;24,9;22,7;29,5;222;0;907;3;OUT;;0;0;0,6;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/3/23;;09:30;5,00;7,40;6,8;6,6;;;6,5;176;207;;;204;23,70;23,40;;;23,40;4,40;4,80;;;1,80;;7,61;21,00;;;7,74;0,08;0,18;2,22;0,10;1,04;2,02;1,81;0,16;0,05;0,03;2,63;0,57;0,50;0,10;0,30;6,10;111200;410600;648800;1000;13400;14600;282;410;222;66,2125;66,2266;57,3797;57,4002;56,6331;56,6442;15,6;16;0,4;0,18;0,00514;7,43;27,8;870;0;5;7;24,2;20,1;30,5;234;0;883;3;OUT;3/30/2023 9:30:00;0;0;0,8;1;1;1;0;0;1;1;1;1;3,00;4,13;4,16;>0;;;1,23;1,19;1,18;31,85;37,46;36,92;4,29;4,23;4,23;0,80;0,87;0,33;1,38;3,80;1,40;0,01;0,40;0,02;0,19;0,37;0,33;0,03;0,01;0,01;0,48;0,10;0,09;0,02;0,05;1,10;20123,94;74306,58;117413,81;180,97;2425,01;2642,17;51,03;74,20;40,18;0,03;0,54;0,75;0,75;;;;;;;;;;
31/3/23;;;0,00;7,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,6;863;0;0;7;25,0;20,7;29,0;249;0;873;3;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/4/23;;;0,00;5,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,2;868;0;0;5;24,1;21,6;28,7;192;0;868;4;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/4/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,9;807;0;0;0;21,3;16,2;25,9;257;0;947;4;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3/4/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,0;774;0;0;0;22,6;17,7;26,0;250;0;887;4;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4/4/23;;08:45;0,00;0,00;7,2;6,8;;;6,8;188;206;;;198;24,00;23,20;;;23,30;4,30;3,60;;;2,50;;10,80;14,70;;;3,10;0,26;0,44;1,97;0,20;2,82;2,52;2,18;0,15;0,08;0,00;2,01;0,01;0,26;0,00;1,70;5,50;1046200;1986300;387300;31500;4000;50600;234;372;252;66,2139;66,2256;57,3827;57,4013;56,6386;56,6512;15,6;15,9;0,3;0,12;0,00334;11,43;27,7;858;0;0;0;23,7;19,9;27,7;232;0;858;4;OUT;4/4/2023 8:45:00;0;0;0;1;1;1;0;0;-;-;-;-;4,50;3,60;4,70;-;;;0,85;0,80;0,80;22,11;24,23;23,29;2,82;2,73;2,74;0,51;0,42;0,29;1,27;1,73;0,36;0,03;0,23;0,02;0,33;0,30;0,26;0,02;0,01;0,00;0,24;0,00;0,03;0,00;0,20;0,65;123037,66;233597,49;45548,16;3704,54;470,42;5950,78;27,52;43,75;29,64;0,05;0,53;0,42;0,55;;;;;;;;;;
5/4/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,7;666;0;0;0;24,8;21,3;28,9;222;0;865;4;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/4/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,9;328;0;0;0;22,7;21,1;26,1;132;0;727;4;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/4/23;;;28,20;28,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,0;163;1;28;28;19,9;18,0;24,6;60;0;428;4;OUT;;3,4;12;24,2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/4/23;;;6,00;34,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,5;161;2;6;34;19,9;19,3;21,3;61;0;228;4;OUT;;2,2;2,6;2,6;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/4/23;;;1,00;36,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,6;415;0;1;37;21,3;19,9;24,6;120;0;415;4;OUT;;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/4/23;;;3,80;12,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,3;818;0;4;12;22,1;20,4;25,3;133;0;818;4;OUT;;0;0,4;3,4;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/4/23;;;0,00;6,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,0;828;0;0;6;24,2;22,2;27,0;229;0;828;4;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/4/23;;;0,00;3,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,9;820;0;0;4;23,5;19,8;27,9;232;0;837;4;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/4/23;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,6;805;0;0;0;24,6;19,8;29,4;225;0;829;4;OUT;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/4/23;;;10,80;10,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,4;112;6;11;11;22,9;20,4;26,6;136;0;816;4;OUT;;6,4;10,8;10,8;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/4/23;;;28,60;42,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,6;276;0;29;42;20,2;18,8;22,8;61;0;296;4;OUT;;0;0;2,2;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/4/23;;;0,00;42,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,1;508;0;0;42;21,5;19,1;24,1;135;0;557;4;OUT;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/4/23;;;4,40;36,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,9;670;0;4;36;23,5;21,2;26,6;154;0;670;4;OUT;;0;0;2,4;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
